variable,level,exp,rmse,corr,bias,stdratio
t,1000,conv,2.500404819621873,0.9038775408834223,-1.743409831779818,1.1447491053865013
t,1000,convsat,0.773545071213824,0.9802985170122753,-0.27901718171522605,0.97414878185293
t,1000,noRO,2.93519417427068,0.8866989273397186,-2.185381081436286,1.1592707243869833
t,1000,RO3ch,4.769997579224498,0.7784469886181233,-3.970020063359614,1.139760990998244
t,1000,RObangle,5.595782416872911,0.7000683353542019,-4.936816643260073,0.804100968805372
t,1000,cpu,2.4767729184249188,0.9056157242921792,-1.725600014695499,1.1443102140765844
t,1000,mpsbroken,6.2660464178149855,0.6627301823746965,-4.878813024693151,1.4367794879772942
t,925,conv,2.275136675128101,0.9018488150008629,-1.6018262288451106,1.1089524888326987
t,925,convsat,0.7453154512295603,0.9797020227146639,-0.2999034299259543,0.9521854073341895
t,925,noRO,2.6872398215957407,0.8779908723254904,-1.9732213588969794,1.1299921881467614
t,925,RO3ch,4.713909483126269,0.7957155036905627,-4.082363669803489,1.1445654418149578
t,925,RObangle,5.470191974304294,0.5299926034301717,-4.622668741774757,0.7120145911586351
t,925,cpu,2.248405031587256,0.9043255555982428,-1.586490120485884,1.1068876219114412
t,925,mpsbroken,6.107291193041078,0.6134695730310351,-4.732595556095023,1.4422028203895263
t,850,conv,2.1471021180731817,0.9242050276143163,-1.5468503930965338,1.142358691670106
t,850,convsat,0.7398841772864764,0.9810304088745908,-0.3415224676119228,0.9794115612631944
t,850,noRO,2.5039579135466163,0.8969515633182491,-1.7993954144651394,1.1596879473321795
t,850,RO3ch,4.584769033186631,0.8428829268248136,-4.024386864333526,1.2052791396685365
t,850,RObangle,5.353104485755998,0.6105519649956808,-4.614557362014366,0.7330034976171962
t,850,cpu,2.124202511001967,0.9256775111864604,-1.530747127943948,1.1403993805226962
t,850,mpsbroken,6.114628496624888,0.6625411216462221,-5.003656708604354,1.3812558757788573
t,700,conv,1.4284468454821972,0.9806908605300086,-1.1683062240874613,1.0245806709392111
t,700,convsat,0.6475326966732899,0.9897642284678382,-0.2567892553767738,0.964334983191704
t,700,noRO,1.5465212206974088,0.9757106490429623,-1.2424006988201686,1.0252079903675813
t,700,RO3ch,3.940586112658449,0.8982431172110308,-3.4534449006944508,1.0432948813005454
t,700,RObangle,5.078703896307375,0.8030473145190484,-4.424850715588717,0.6829899979479687
t,700,cpu,1.4273416583789333,0.9806479502263419,-1.1671210583934568,1.0232984101333022
t,700,mpsbroken,5.455077284647736,0.815478066983956,-4.6761468598085845,1.1819419933685795
t,600,conv,1.65159697628663,0.9777330621325716,-1.3910687325262343,0.9927429329440186
t,600,convsat,0.5683723660375574,0.9923063224351389,-0.2139741230024621,0.9799047537238406
t,600,noRO,1.8550357585921609,0.9666780396022283,-1.494855566852802,1.009566530618944
t,600,RO3ch,4.163804331861975,0.9378390133409189,-3.8748457894991937,1.0339961085347853
t,600,RObangle,5.258873234492681,0.909607809231015,-4.944311307305401,0.8283518456131719
t,600,cpu,1.651237842506987,0.9775305806332473,-1.3883741703748547,0.9909973999020034
t,600,mpsbroken,4.44515552408074,0.8476055163254058,-3.453524166350719,1.2423156539787588
t,500,conv,1.6476233118870587,0.988097256694825,-1.4415620657895412,1.057245834961431
t,500,convsat,0.5653189528927384,0.9934060286489634,-0.15122270489266487,0.9826998569844041
t,500,noRO,1.8530696660096946,0.9821625864362407,-1.5524604552951047,1.0840931456441505
t,500,RO3ch,4.4272221093081,0.9460812483826411,-4.082767005788315,1.1075061639208834
t,500,RObangle,5.5676583344020205,0.929651660911931,-5.287378728910637,0.9152740612459973
t,500,cpu,1.6444246346554456,0.9880930619542629,-1.4398051217643693,1.055390184018661
t,500,mpsbroken,4.026467841201371,0.9452234759415649,-3.659638262846171,1.0846472819125685
t,400,conv,2.0179359119159206,0.990558589110783,-1.8421021587316326,1.058239311920827
t,400,convsat,0.6270192169572717,0.9946077399572223,-0.28272824201367114,0.9890085274574715
t,400,noRO,2.4155559541603173,0.989440440516224,-2.2335170051125792,1.0796525654620552
t,400,RO3ch,4.94960694753688,0.9572911993459357,-4.609731035655334,1.125508844700112
t,400,RObangle,6.982992768898034,0.873105194475968,-6.468540847111304,0.8479298920322283
t,400,cpu,2.0151977578521962,0.9905562582779925,-1.8402568237700407,1.0571127148700905
t,400,mpsbroken,6.064599803301335,0.8759473029790376,-5.46937355609052,0.9369067377145878
t,300,conv,2.197353530774965,0.9921660624729997,-2.084214144156479,0.9700610966722901
t,300,convsat,0.7639507484798013,0.9943774395247712,-0.48994292969766134,1.008596025236117
t,300,noRO,2.6817168999060135,0.9932407479410098,-2.6037666832926143,0.9785286840041187
t,300,RO3ch,4.73940711680757,0.937814017511746,-4.3196962756249055,1.0141496589856136
t,300,RObangle,7.9863333056557755,0.8183307710332638,-7.205895017657401,0.5661156971157221
t,300,cpu,2.1964940845607677,0.9921532616473221,-2.0828553051901904,0.9692208358425067
t,300,mpsbroken,7.911615005156595,0.7500874846918226,-7.020602758509212,0.8186152292798187
t,250,conv,2.4853384097357667,0.9840331455731206,-2.353880397018093,0.9422790730810416
t,250,convsat,0.7113676968564686,0.9916039032937697,-0.42705247102472,0.9747742189799811
t,250,noRO,2.9713497229353787,0.9805759267310281,-2.8355010606404756,0.9260434806977346
t,250,RO3ch,3.298574723786665,0.9612934795411784,-3.0565596072460757,0.8913620777772208
t,250,RObangle,7.736813191803036,0.575516977427863,-6.846256869535005,0.45919291901234544
